gene_symbol,RED,pvalue,p_adj,padj,APAreg
POGZ,0.12349612339396,0.790076383865318,0.999981980224256,0.919344513670228,NC
POLA1,0.193383862523132,0.683235352588235,0.999981980224256,0.962673353673901,NC
POLD2,0.107066359182955,0.881503359836512,0.999981980224256,0.980400643439867,NC
POLD3,-0.457821279986861,0.398192824227793,0.999981980224256,0.854782984244616,NC
POLD4,0.163872988349995,0.807922472656592,0.999981980224256,0.962582913540775,NC
POLE2,-0.135039515284318,0.760368935911413,0.999981980224256,0.969993607820697,NC
POLE3,0.266327084449896,0.671905813640281,0.999981980224256,0.794923912821742,NC
POLK,-0.0447391343616444,0.881699586502546,0.999981980224256,0.988597540348459,NC
POLL,0.538888637063894,0.222177673288025,0.999981980224256,0.753272658321854,NC
POLQ,-0.0424971033137782,0.92716681663826,0.999981980224256,0.989416184572033,NC
POLR1D,1.00756366264848,0.261578057119362,0.999981980224256,0.627903063340502,NC
POLR2A,0.0949739405829314,0.821454392517446,0.999981980224256,0.941724698018014,NC
POLR2D,-0.0975308116028852,0.886207246369082,0.999981980224256,0.990746532296086,NC
POLR2G,0.140953465439632,0.89785804172485,0.999981980224256,0.996033155700204,NC
POLR2I,-0.537920649353604,0.525090300860876,0.999981980224256,0.806668381315883,NC
POLR2J3,0.0673659671489216,0.720878845876087,0.999981980224256,0.961964949954785,NC
POLR3A,0.289228475055934,0.421968617391603,0.999981980224256,0.936836802282959,NC
POLR3B,-0.0596633537593188,0.920277465124605,0.999981980224256,0.980400643439867,NC
POLR3C,0.358623317727229,0.294407994734883,0.999981980224256,0.802892074445666,NC
POLR3D,0.422822205827269,0.580946109711819,0.999981980224256,0.806733566496947,NC
POLR3E,-0.104325061730287,0.739668916274848,0.999981980224256,0.973352035805119,NC
POLR3F,-0.268957997963173,0.754933571260503,0.999981980224256,0.954395889092318,NC
POLR3K,0.539249563979913,0.0838387394883157,0.999981980224256,0.697748919039165,NC
POMP,-0.367340947505547,0.553446185836886,0.999981980224256,0.89092869551247,NC
POMT2,-0.391365851757925,0.440100658048356,0.999981980224256,0.830794046610716,NC
POP4,-0.906399353861723,0.311926161677408,0.999981980224256,0.745366521484296,NC
POPDC3,-0.365993814711262,0.507101049292803,0.999981980224256,0.909094743179351,NC
POT1,0.714860337536949,0.165211785651071,0.999981980224256,0.575189935915223,NC
POU2F1,0.145625459231527,0.667525172339885,0.999981980224256,0.902140602569992,NC
POU2F2,-0.0250097292155964,0.934569458633132,0.999981980224256,0.993568326312829,NC
POU3F2,-0.931310708223067,0.248529713553313,0.999981980224256,0.752982470461511,NC
POU3F3,-0.0360227941623162,0.933169653110364,0.999981980224256,1,NC
POU6F1,-0.487291494509644,0.183430814233543,0.999981980224256,0.703203368055658,NC
PPA1,-0.32905866043054,0.486892990535862,0.999981980224256,0.909868967011655,NC
PPA2,0.0962737273553043,0.852187239233739,0.999981980224256,0.960451487707686,NC
PPARGC1A,-0.475884674240355,0.173288411457148,0.999981980224256,0.729167418023753,NC
PPARGC1B,-0.0303790321329472,0.907499245227506,0.999981980224256,1,NC
PPAT,0.0095042283594502,0.9799727823221,0.999981980224256,1,NC
PPCDC,-0.293845784196576,0.687519234111991,0.999981980224256,0.975468780418127,NC
PPDPF,0.157186327764817,0.865947496231107,0.999981980224256,0.942763672142076,NC
PPFIA1,0.228500515504222,0.544418988906206,0.999981980224256,0.934748825054805,NC
PPFIA2,0.00509672221694144,0.987470408987993,0.999981980224256,1,NC
PPFIA4,0.0936502954925952,0.812045764506341,0.999981980224256,0.951414438501635,NC
PPHLN1,-0.666712626584072,0.0591833482923731,0.999981980224256,0.628712658448835,NC
PPIA,0.345172731110453,0.295610731792598,0.999981980224256,0.761337661361938,NC
PPIC,-0.52018289255941,0.266777472007803,0.999981980224256,0.745366521484296,NC
PPIG,0.206603633951809,0.327054097501597,0.999981980224256,0.91627353132518,NC
PPIH,-0.00810719393268422,0.981126828620416,0.999981980224256,1,NC
PPIL4,0.186848621260193,0.737121752567426,0.999981980224256,0.806733566496947,NC
PPIP5K1,-0.116670792375621,0.79341499957844,0.999981980224256,0.937952542637158,NC
PPIP5K2,0.186261264470095,0.691443287956389,0.999981980224256,0.942763672142076,NC
PPM1A,-0.0734376131169548,0.830162074202327,0.999981980224256,0.962582913540775,NC
PPM1B,0.0167082902041269,0.951732485062459,0.999981980224256,0.995408732086045,NC
PPM1F,-0.338965377915898,0.664262726270924,0.999981980224256,0.900155770239716,NC
PPM1H,0.0779442250162832,0.783830639965159,0.999981980224256,0.967459115744681,NC
PPM1K,0.0389928956028763,0.744393234861317,0.999981980224256,0.98147251556962,NC
PPM1L,-0.0379882118367924,0.907357108265846,0.999981980224256,0.951270382234305,NC
PPM1N,0.532101299586435,0.431627949488442,0.999981980224256,0.900155770239716,NC
PPME1,0.11880548807078,0.560510502682376,0.999981980224256,0.869038095142817,NC
PPP1CC,1.23342400647405,0.179389746788466,0.999981980224256,0.499958663817842,NC
PPP1R12A,0.227091472784808,0.584010879690035,0.999981980224256,0.931439772583619,NC
PPP1R12B,-0.164048466828009,0.373786366243296,0.999981980224256,0.873818201515314,NC
PPP1R15B,-0.120179369623223,0.725583563233302,0.999981980224256,0.961613541043911,NC
PPP1R16B,0.231984689046198,0.435200995921533,0.999981980224256,0.916281232308321,NC
PPP1R1A,-0.252812175587156,0.672598244276757,0.999981980224256,0.907857644553006,NC
PPP1R21,-0.123988790134693,0.790156405107708,0.999981980224256,0.956805278969192,NC
PPP1R35,-0.32322660373524,0.677775428015208,0.999981980224256,0.956523133326066,NC
PPP1R3D,0.213248764181468,0.720793177968113,0.999981980224256,0.960878462484955,NC
PPP1R3E,-0.125373650734776,0.382384789186579,0.999981980224256,0.857330820476395,NC
