gene_symbol,RED,pvalue,p_adj,padj,APAreg,APAreg2,gene_label
DENND1B,-0.144013111342664,0.738543810084365,0.901363838984251,0.884209137420096,NC,NC,no
DENND2A,0.321586739728721,0.0869821253333455,0.397080127568784,0.306351731695869,NC,NC,no
DENND2C,-0.347011137434373,0.624645599227688,0.847981235970141,0.833062857605541,NC,NC,no
DENND3,-0.347678019458497,0.460895823401551,0.752735773299128,0.705343438714578,NC,NC,no
DENND4A,0.667084822485931,0.08932137865338,0.401549471928425,0.409246497282098,NC,NC,no
DENND5A,-0.211481242850098,0.134995565353669,0.46840618374557,0.297201383561927,NC,NC,no
DENND5B,0.0999759560991298,0.54439144541595,0.800578191214118,0.804499635937816,NC,NC,no
DENND6A,0.136662725403559,0.281350757365741,0.622733556993526,0.628570924349064,NC,NC,no
DENND6B,0.267230656393762,0.132456511011911,0.467451796085176,0.50921790815364,NC,NC,no
DENR,0.147710237567888,0.292115149049885,0.630217975340572,0.597215171360665,NC,NC,no
DEPDC1B,-0.0817041659455131,0.879178743792852,0.958894919915695,0.972940628431891,NC,NC,no
DEPP1,1.22620439148681,0.00740709284683521,0.156525042731808,0.00784747042725761,UP,distal,no
DERL1,0.265723563311552,0.14915590892103,0.485914968785085,0.185559071189126,NC,NC,no
DERL2,0.242396464578307,0.0162092151136022,0.213859011321921,0.135192547145973,NC,NC,no
DESI1,0.235482889100678,0.3963021029706,0.711375829629263,0.680657883667798,NC,NC,no
DESI2,0.0987603137379737,0.213759882850491,0.5540212551235,0.9232832363114,NC,NC,no
DET1,0.0178302918980999,0.892197402564107,0.962426704806135,0.961717832569816,NC,NC,no
DFFA,-0.163970163473133,0.484460355411037,0.765990095533854,0.825182225274387,NC,NC,no
DGCR2,0.102340256991599,0.525994864354628,0.792810539221031,0.77156416146073,NC,NC,no
DGCR6L,1.33194083979459,0.00301178362031494,0.108585621012115,6.40478638185233e-13,UP,distal,no
DGKB,0.061602835018743,0.240338335053595,0.584778943892307,0.810018425767544,NC,NC,no
DGKD,0.0583076402291581,0.748428924167255,0.905453637859794,0.937606291078803,NC,NC,no
DGKE,-0.09773774380756,0.161814915047891,0.503048466259554,0.636525681102384,NC,NC,no
DGKI,0.130750033049971,0.0665803604435357,0.355193279508674,0.173055575694496,NC,NC,no
DGKZ,-0.026185901912019,0.906268748177402,0.968922159246815,0.976390394740152,NC,NC,no
DHCR24,0.017209794843781,0.721866198150893,0.89570743143641,0.925785301603683,NC,NC,no
DHDDS,-0.346349922270313,0.45600968655606,0.74979685532086,0.769141339724131,NC,NC,no
DHFR,0.413802544100381,0.301650286261584,0.638158339254501,0.555204245429162,NC,NC,no
DHODH,0.330861947637557,0.440676368600006,0.743162803282799,0.708997900547719,NC,NC,no
DHRS11,0.276468155511197,0.575647310580748,0.82331119033209,0.863501604939021,NC,NC,no
DHRS13,-0.0260609738669266,0.878216033176538,0.958305422565165,0.987680793477088,NC,NC,no
DHTKD1,-0.133264664836117,0.791066145153096,0.923196441597028,0.954611127197338,NC,NC,no
DHX15,-0.0572685374460999,0.802038188887455,0.927705075200631,0.934202810888503,NC,NC,no
DHX32,-0.258877182106827,0.429642176588336,0.734726338084757,0.713132731066702,NC,NC,no
DHX33,-0.037903709950721,0.856767416959633,0.949793775608963,0.926654857440085,NC,NC,no
DHX34,0.81564339424728,0.220483408009689,0.561915448111023,0.393102847485382,NC,NC,no
DHX35,0.671991847432406,0.034639277676095,0.278885548108106,0.132311760393843,NC,NC,no
DHX36,0.316593174813469,0.018572835813179,0.223267768580104,0.339224748934334,NC,NC,no
DHX40,-0.116912988801797,0.536865431751548,0.798088876198011,0.774852719063097,NC,NC,no
