gene_id,gene_name,fisher_APA_sig,fisher_padj,APA_log2FC_plotting,deg_log2FC,deg_padj,deg_sig,coordinated_change,text_label
ENSG00000185880,TRIM69,longer,3.31525843925751e-09,0.83233781591181,0.18414087214363,0.332780101570654,no,no,no
ENSG00000185924,RTN4RL1,longer,0.000790878344790735,0.126267605847032,-0.833939544185148,3.24156763823865e-68,dn,longer,no
ENSG00000185942,NKAIN3,shorter,0.0253245816984716,-0.186011346327145,-0.383301061038635,4.68046890534463e-05,no,no,no
ENSG00000186001,LRCH3,longer,2.28210488569402e-11,1.61549330956813,0.161996591650517,0.0337139056934296,no,no,no
ENSG00000186187,ZNRF1,longer,2.72696208836046e-26,0.195635071882474,0.116282126486091,0.0796881268251509,no,no,no
ENSG00000186298,PPP1CC,longer,0.00131564665111263,0.105666480585134,-0.198274114138948,0.00152539358626482,no,no,no
ENSG00000186409,CCDC30,longer,4.48383660790837e-14,1.67246364515041,0.202897938153606,0.168665267588675,no,no,no
ENSG00000186416,NKRF,longer,0.00019914683245473,0.121886113949418,-0.104408709061243,0.143775196007446,no,no,no
ENSG00000186432,KPNA4,longer,1.0185634580272e-48,0.733775643487561,0.840173523091646,1.28690770189657e-26,up,longer,no
ENSG00000186468,RPS23,longer,2.6536783147016e-36,0.406154448907551,0.197703523179052,5.11888845689792e-07,no,no,no
ENSG00000186469,GNG2,longer,4.30479559677879e-37,0.101993808739071,-0.199129533102983,3.77759699489442e-11,no,no,no
ENSG00000186480,INSIG1,longer,2.84180218784673e-17,0.362367744912008,0.187637275368398,0.000332569602885022,no,no,no
ENSG00000186493,C5orf38,longer,8.29714430447226e-10,0.406636449933447,-0.103036413223172,0.575311276609525,no,no,no
ENSG00000186501,TMEM222,shorter,0.00180450591227322,-0.480714967138988,0.0296086558501995,0.800071817312623,no,no,no
ENSG00000186522,SEPTIN10,shorter,0.0422232009234521,-0.236921646099953,0.065340889643301,0.685054439012926,no,no,no
ENSG00000186591,UBE2H,longer,6.58739153557157e-55,0.433580610428593,-0.338683570559732,4.73759154540132e-09,no,no,no
ENSG00000186625,KATNA1,longer,0.0209021069838942,0.607076479271861,0.542220774396875,3.44597527054728e-05,no,no,no
ENSG00000186666,BCDIN3D,longer,0.000421299368851046,0.220825350554525,-0.00234259067886058,0.988707091128735,no,no,no
ENSG00000186716,BCR,longer,0.000627956373647267,1.06121514353209,-0.185744576862692,3.72999433636522e-05,no,no,no
