groupID,Gene_Name,APA_direction,APA_sig,pvalue_up,pvalue_down,padj_up,padj_down,log2FC,padj,pvalue,FC_text_label,gene_label
ENSG00000107560,RAB11FIP2,distal,no,0.383714764777879,0.667135873204375,1,1,0.0282847778630142,1,0.383714764777879,no,no
ENSG00000107581,EIF3A,distal,no,0.922957420771059,0.914426270105109,1,1,0.284233440145389,1,0.914426270105109,no,no
ENSG00000107614,TRDMT1,proximal,no,0.482120101661662,0.010136991881741,1,0.541076181739394,-15.8435142784428,0.541076181739394,0.010136991881741,no,no
ENSG00000107643,MAPK8,distal,no,0.411420048023554,0.996301865178209,1,1,17.4469738038126,1,0.411420048023554,no,no
ENSG00000107669,ATE1,proximal,no,0.238347892303734,0.156865851643825,1,1,-0.668992249468754,1,0.156865851643825,no,no
ENSG00000107679,PLEKHA1,distal,no,0.0574919887216634,0.981698285530228,0.997320559748999,1,2.18619770840027,0.997320559748999,0.0574919887216634,no,no
ENSG00000107736,CDH23,proximal,no,0.817096180398014,0.817092575807001,1,1,-0.198235684860738,1,0.817092575807001,no,no
ENSG00000107742,SPOCK2,proximal,no,0.099014327399494,0.112446386341348,1,1,-0.417111399177307,1,0.099014327399494,no,no
ENSG00000107758,PPP3CB,distal,no,0.424880550290864,0.352782102580047,1,1,0.402796192103549,1,0.352782102580047,no,no
ENSG00000107771,CCSER2,distal,no,0.441221949393475,0.546033183917431,1,1,0.154675309873602,1,0.441221949393475,no,no
ENSG00000107789,MINPP1,proximal,no,0.766186750152839,0.767711954282955,1,1,-0.292118536935884,1,0.766186750152839,no,no
ENSG00000107796,ACTA2,distal,no,0.437131023396772,0.385430004832619,1,1,0.544537006378167,1,0.385430004832619,no,no
ENSG00000107854,TNKS2,distal,no,0.703363039181699,0.0460022881137258,1,0.942976637237574,0.213830913462902,0.942976637237574,0.0460022881137258,no,no
ENSG00000107864,CPEB3,proximal,no,0.946839119889742,0.169312002111765,1,1,-2.26197327306967,1,0.169312002111765,no,no
ENSG00000107882,SUFU,proximal,no,0.948173619956048,0.959242132515178,1,1,-0.348663782924818,1,0.948173619956048,no,no
ENSG00000107897,ACBD5,proximal,no,0.604454795558905,0.613061127469075,1,1,-1.62876708362129,1,0.604454795558905,no,no
ENSG00000107929,LARP4B,distal,no,0.907770865413698,0.875943107069601,1,1,0.0222575279788595,1,0.875943107069601,no,no
ENSG00000107949,BCCIP,proximal,no,0.966005161213801,0.647506175373679,1,1,-3.54155859529059,1,0.647506175373679,no,no
ENSG00000107951,MTPAP,distal,no,0.0732954081476078,0.246093937531955,1,1,0.955534724402868,1,0.0732954081476078,no,no
ENSG00000107954,NEURL1,distal,no,0.99843792906106,0.998242518280538,1,1,0.0514180725123286,1,0.998242518280538,no,no
ENSG00000108001,EBF3,distal,no,0.32947807579899,0.347943965048406,1,1,0.639869241861899,1,0.32947807579899,no,no
ENSG00000108010,GLRX3,distal,no,0.916512206536667,0.425400866983471,1,1,3.11149508425532,1,0.425400866983471,no,no
ENSG00000108018,SORCS1,distal,no,0.804137407394495,0.782585567943102,1,1,0.0378263766544462,1,0.782585567943102,no,no
ENSG00000108061,SHOC2,distal,no,0.610556818510894,0.392814440014891,1,1,0.358788484652118,1,0.392814440014891,no,no
ENSG00000108064,TFAM,proximal,no,0.960434551117622,0.947497304528134,1,1,-0.253581819180848,1,0.947497304528134,no,no
ENSG00000108091,CCDC6,proximal,no,0.00209928944226955,0.52931641067839,0.262956450268699,1,-4.93321018895187,0.262956450268699,0.00209928944226955,no,no
ENSG00000108094,CUL2,distal,distal,0.264246507930305,2.2413624581014e-08,1,0.00014411960605592,1.46311996832715,0.00014411960605592,2.2413624581014e-08,yes,yes
ENSG00000108100,CCNY,proximal,no,0.697876053928026,0.588492156833045,1,1,-0.380100679533729,1,0.588492156833045,no,no
ENSG00000108106,UBE2S,distal,no,0.883421652094462,0.218085231373196,1,1,0.0464257683853395,1,0.218085231373196,no,no
ENSG00000108175,ZMIZ1,proximal,no,0.918688716682816,0.790073095755311,1,1,-0.0352521507332693,1,0.790073095755311,no,no
ENSG00000108179,PPIF,distal,no,0.337879306328828,0.370932005099699,1,1,0.148983484455647,1,0.337879306328828,no,no
ENSG00000108187,PBLD,distal,no,0.901013115585963,0.911937174528594,1,1,1.80605434627392,1,0.901013115585963,no,no
ENSG00000108219,TSPAN14,proximal,no,0.917206427927482,0.903638778614891,1,1,-0.394097298539626,1,0.903638778614891,no,no
ENSG00000108239,TBC1D12,distal,no,0.84594059730117,0.0712091393384179,1,1,0.222440985685243,1,0.0712091393384179,no,no
ENSG00000108256,NUFIP2,distal,no,0.370025196815159,0.89030788826512,1,1,0.186134687654812,1,0.370025196815159,no,no
ENSG00000108298,RPL19,distal,no,0.404738658566968,0.410231644046781,1,1,0.240561491008188,1,0.404738658566968,no,no
