Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,APA_sig,RNA_change
GPR62,8.18481992537222,0.309235922303486,0.538623426325207,0.018304497855673,0.084659380332008,proximal,Increased
GPRC5A,54.6300970241228,4.20457431436025,0.537564169219384,1.01613677635341e-17,2.46356716222571e-15,distal,Increased
GTF2F1,454.49498554464,-0.08973272372968,0.151783294375222,0.456302985427966,0.69383492279012,distal,NC
HEG1,238.383157425848,-1.93321429225385,0.299534579173975,7.44415221829674e-13,7.65383566821525e-11,distal,Decreased
HLF,4724.03689674619,-0.0655257779084263,0.0843078174033549,0.392825990443416,0.639540479880435,distal,NC
HNRNPDL,9029.21539989917,0.2450624256198,0.0673433472646279,0.000150035633174716,0.00182101345135048,proximal,Increased
HSPH1,6260.46401648416,0.10672066728003,0.0901048876759655,0.203803153697873,0.442192722607317,distal,NC
IPCEF1,2445.82116169963,-0.295803869604128,0.107486240642865,0.00247263464751858,0.0183999996998749,distal,Decreased
KANK4,24.106789607834,-2.8780333565305,0.829224091872469,1.18386203791794e-06,2.84213724946608e-05,proximal,Decreased
KCNMB4,1250.78799511926,-0.201302592121435,0.0957390463913646,0.0227450074739197,0.0987763062301712,distal,Decreased
KIF26B,149.006748115621,-0.487731505606859,0.24517254356105,0.00601943560401297,0.0365974230314572,distal,Decreased
L3MBTL1,686.278953100292,0.00905012540119854,0.128874057468285,0.92663494158325,0.968145189551599,distal,NC
LRFN1,151.26351819957,0.00744909152104939,0.159594586014213,0.964087184120663,0.98563235509755,distal,NC
LSM6,63.7515543809453,-0.129625622461927,0.230044965092655,0.319963335734364,0.573934964116864,distal,NC
MARK3,4030.74068494692,0.0826106583108993,0.0795809778845131,0.275811753574024,0.526016433591016,distal,NC
METTL13,205.64686428166,-0.229736160755608,0.16926752151136,0.0830748270051888,0.246624860578669,distal,NC
MIPOL1,704.97440529468,-0.361344350080157,0.118520467718815,0.00073273739017485,0.00690143734688427,distal,Decreased
MMAB,162.606737238273,-0.813064257753424,0.173157214892409,2.27788063503706e-07,6.54949047011095e-06,proximal,Decreased
MSRB2,348.0379161883,-0.239381797513825,0.166615784829223,0.0687512243147515,0.21900025029896,distal,NC
NEDD4L,5192.72478841863,0.180007179544153,0.0686356770298213,0.00624014046645157,0.0376016810310451,proximal,Increased
OSBPL5,182.137605746092,0.239133050492444,0.168638706431694,0.0725577187337741,0.226280527313619,distal,NC
PMS1,706.110582007284,-0.0503969467621621,0.084072577551594,0.528667307655967,0.750956136545959,distal,NC
PPP2R2A,1001.85190842418,0.231487701790129,0.0782267584319107,0.00182824300091267,0.0144828705332485,distal,Increased
PPP2R2B,2459.83752057534,-0.0804832449249673,0.082793852863217,0.302749587384459,0.55599482080634,proximal,NC
PPP2R3A,1031.91340802251,-0.160513451437943,0.072638018086705,0.0205824143851816,0.0921352755177106,proximal,Decreased
PPP4R3A,1032.7525473216,0.263129027071408,0.113114122029194,0.0095183461437133,0.051513544363707,proximal,Increased
PRDM1,191.264873519778,-2.18655631182283,0.262523904415467,7.02295724027184e-19,2.29861390474097e-16,distal,Decreased
PSMC2,827.443663991204,0.172877956313128,0.122305267037748,0.10624235657013,0.292464603749503,distal,NC
RAB8B,411.851516739504,-0.296633396277157,0.151273431745936,0.0184220686474377,0.0850229339831684,distal,Decreased
REPS1,3180.15408962413,0.210377998124515,0.0812517804995025,0.0060526587693907,0.0367198371681478,distal,Increased
RIMS1,2153.02686280612,-0.343951982588019,0.0918119823358055,6.6578364914027e-05,0.000919455647103842,distal,Decreased
RNASET2,539.020872248324,-0.140694007750373,0.144557524953662,0.237081070787015,0.482220983350095,distal,NC
RPP30,632.525646983558,0.0186829776518679,0.0869592801304039,0.819539285757807,0.922563054956252,distal,NC
RPS6KA2,3866.52470744311,1.16464873949112,0.129603372384314,9.2230057357688e-21,4.21212527067506e-18,distal,Increased
SAT1,1099.18569212612,-0.0518271358110725,0.0942063958110757,0.552509154351672,0.768534833061207,distal,NC
SDC2,51.8054453198692,-0.281412889503574,0.305370657008131,0.074130467937857,0.229472592900951,distal,NC
