gene_symbol,RED,pvalue,p_adj,padj,APAreg
ALDH7A1,0.198506038922636,0.273505596852913,0.992501359175853,1,NC
ALDH9A1,-0.319654932860863,0.300924649488906,0.992501359175853,1,NC
ALDOA,0.0778341869581234,0.475629154028705,0.992501359175853,1,NC
ALG1,-0.297518896808667,0.139794524929548,0.992501359175853,1,NC
ALG13,-0.00466593741056709,0.986597474293942,0.998704752106707,1,NC
ALG14,0.250329387011027,0.84765553092995,0.992501359175853,1,NC
ALG2,-0.06433085300661,0.824723412987989,0.992501359175853,1,NC
ALG6,0.312078532960397,0.598303928070994,0.992501359175853,1,NC
ALG9,-0.0245739844055285,0.888965466725089,0.992501359175853,1,NC
ALK,-0.0262147667641224,0.93071303003652,0.996558758704433,1,NC
ALKBH1,0.1471717779227,0.582225396320006,0.992501359175853,1,NC
ALKBH3,0.272176060786954,0.32534629309608,0.992501359175853,1,NC
ALKBH5,-0.14494112288964,0.32866056181437,0.992501359175853,1,NC
ALKBH7,-0.756129612934723,0.0697409206410957,0.992501359175853,1,NC
ALPK3,-0.0144602298940803,0.97892757040304,0.998704752106707,1,NC
ALX3,-0.023348452719856,0.963748659771435,0.998704752106707,1,NC
ALYREF,0.11539336490561,0.55344249727011,0.992501359175853,1,NC
AMD1,-0.053784836772175,0.630191820736272,0.992501359175853,1,NC
AMER1,-0.00113615852979833,0.993672874801378,0.998704752106707,1,NC
AMER2,0.056959071011145,0.0500527628897835,0.992501359175853,1,NC
AMER3,-0.0988079035284263,0.687536696132495,0.992501359175853,1,NC
AMFR,0.164743230454744,0.200037289441623,0.992501359175853,1,NC
AMIGO1,-0.279932688889705,0.108742237626877,0.992501359175853,1,NC
AMIGO2,0.56552913088183,0.265253990818162,0.992501359175853,1,NC
AMMECR1,0.691958270402225,0.00446294772147929,0.992501359175853,0.899544642519656,NC
AMMECR1L,-0.157253394042535,0.226513320550897,0.992501359175853,1,NC
AMOT,0.155994951865029,0.46084263710894,0.992501359175853,1,NC
AMOTL1,-0.348575391836216,0.0905297907572299,0.992501359175853,1,NC
AMOTL2,-0.1994221138141,0.448261580354043,0.992501359175853,1,NC
AMZ2,-0.425104268751057,0.157630934846976,0.992501359175853,1,NC
ANAPC1,-0.221779625363077,0.293404166525736,0.992501359175853,1,NC
ANAPC11,-0.744557978731157,0.487052063461304,0.992501359175853,1,NC
ANAPC13,0.097355702175429,0.34373132217761,0.992501359175853,1,NC
ANAPC15,0.0686218289656854,0.92771539245916,0.995847408203142,1,NC
ANAPC16,0.15885069340444,0.330013271430237,0.992501359175853,1,NC
ANAPC4,0.0110050190759861,0.989672463860412,0.998704752106707,1,NC
ANGEL1,0.103212499885459,0.646029721002332,0.992501359175853,1,NC
ANGEL2,0.475648462568226,0.387828146196303,0.992501359175853,1,NC
ANGPTL6,-0.0699744042208299,0.58323342527049,0.992501359175853,1,NC
ANK1,0.18477109173624,0.552158701483258,0.992501359175853,1,NC
ANK2,0.0510922450886071,0.657445382820479,0.992501359175853,1,NC
ANK3,-0.130181084025494,0.0562433771373362,0.992501359175853,1,NC
ANKH,-0.341751475242395,0.198077282393629,0.992501359175853,1,NC
ANKIB1,0.00325024343098634,0.966070490635053,0.998704752106707,1,NC
ANKLE2,0.0400825970009246,0.787828030055579,0.992501359175853,1,NC
ANKMY2,0.00296094942257379,0.982257728146847,0.998704752106707,1,NC
ANKRD12,-0.0205746716178168,0.772031796139779,0.992501359175853,1,NC
ANKRD13C,0.0210973033231769,0.929691228041756,0.996344299229786,1,NC
ANKRD17,0.23288413627127,0.418693881307888,0.992501359175853,1,NC
ANKRD26,0.024534127972013,0.91677923269392,0.994614581885524,1,NC
ANKRD28,0.446667236695434,0.324062700778188,0.992501359175853,1,NC
ANKRD29,0.989606114917239,0.126549522225131,0.992501359175853,1,NC
ANKRD34A,0.393721860352226,0.263507890001814,0.992501359175853,1,NC
ANKRD34C,0.176895223740855,0.680651740388644,0.992501359175853,1,NC
