gene_id,Scramble-7d-1,Scramble-7d-2,Scramble-7d-3,TDP43KD-7d-1,TDP43KD-7d-2,TDP43KD-7d-3,gene_name
ENSG00000128294,521.178502951264,583.185183791597,541.768673241946,560.612303956213,753.909526859927,589.394491020957,TPST2
ENSG00000128298,167.516787547396,280.735449474474,162.618807189596,542.650092501547,601.354573123825,618.834648266532,BAIAP2L2
ENSG00000128309,514.20368992573,744.239269930047,626.649431568539,152.635324879922,264.934727553635,202.816115331523,MPST
ENSG00000128310,5.92880585595128,9.72273117811263,3.97785797862273,2.99762902608097,1.04395184098384,8.02711255577395,GALR3
ENSG00000128311,65.9139209019753,57.9110713008343,43.9356718002931,45.6131699732797,22.7025007258679,43.8586995126205,TST
ENSG00000128335,351.940757776814,331.174394210927,477.16908438751,52.2082156790832,33.8395563356372,39.0745956448261,APOL2
ENSG00000128340,0,6.66572099441618,8.24797454390797,0.525677022178531,0,3.7045180789132,RAC2
ENSG00000128342,43.8749897186851,49.8116278415616,47.6237226220655,7.97756697029857,31.5181227490542,16.7927703692695,LIF
ENSG00000128346,14.8130177758992,26.4110943848946,9.51047923894743,5.72061283561852,13.2162564372908,11.3571979294103,C22orf23
ENSG00000128394,13.8918517043404,43.2250506891852,22.0340638177843,1.63241795421359,16.0850407264742,8.95245821238508,APOBEC3F
ENSG00000128408,4.34801042899591,9.39489697967193,0,17.9520927715792,0,5.17364370747252,RIBC2
ENSG00000128463,1993.34799807305,2024.17769314255,1992.83077763829,880.055107368458,717.448260630437,803.69105295153,EMC4
ENSG00000128482,27.2393934290286,25.7943856462136,15.4614876363024,873.775421414194,565.699077322247,1223.65470602914,RNF112
ENSG00000128487,5924.59217921851,5350.40281697371,5777.74743239612,8765.98961912205,8574.76395958405,9126.07242353176,SPECC1
ENSG00000128510,0,3.51377683674965,0,1.57858724279171,3.32475638444627,3.13966225556605,CPA4
ENSG00000128512,6645.33952701311,7391.52003989498,7008.61807085317,9102.66414035798,9613.76086356544,8263.64213281259,DOCK4
ENSG00000128513,875.952511431724,908.081206302047,1293.05759633779,873.439731236778,597.092406302111,735.199856999603,POT1
ENSG00000128524,1882.86882932551,2018.47377254372,2079.47462245821,2106.50253045017,2103.84611334416,2005.97425437209,ATP6V1F
ENSG00000128534,3823.97150508024,3460.74493090135,3598.11447627623,6052.64111764283,6619.84542907357,6408.11835023535,LSM8
ENSG00000128536,317.180736072304,336.293215471373,280.189255284899,464.648466742262,504.583976452575,566.412265896936,CDHR3
ENSG00000128563,2087.32016457332,2101.42553130638,2348.32354111511,2427.66999063937,2484.8976634041,2245.15716379743,PRKRIP1
ENSG00000128564,14579.9737704247,15717.2955509809,14166.6960394593,9554.10138022315,8991.35136778927,9185.28939287065,VGF
ENSG00000128567,2022.62791523042,2050.10210883091,2118.43997723058,1465.11311646643,1342.69231076865,1285.51367044016,PODXL
ENSG00000128573,773.621734945396,617.677847023264,600.629836178107,786.400079098974,921.940116010169,714.605146716324,FOXP2
ENSG00000128578,532.327328205349,615.56420402465,493.649732003512,1166.01183410065,991.368272910688,1056.85612420714,STRIP2
ENSG00000128581,1921.89150276673,1828.13232926887,1631.99631733558,1262.013132529,1235.42195207408,1432.39161590553,IFT22
ENSG00000128585,2763.13961033046,2639.7810988958,2381.81276371784,3643.22891243233,3660.4858295046,3733.75956321684,MKLN1
ENSG00000128590,1730.33217978595,1911.26660876999,1829.04171764277,902.294587271699,887.942009991347,979.974733162399,DNAJB9
ENSG00000128591,967.916654807733,1081.70331944708,949.339239730532,1265.65520345435,1283.28583156393,1322.6940835717,FLNC
ENSG00000128594,2681.39110261945,2311.85053149966,2685.73604961661,1623.42802479733,1863.24448770283,1712.13618849977,LRRC4
ENSG00000128595,6825.29054136433,6453.60503415579,7328.69346280911,4440.45072293846,4354.98561204989,4469.66998432588,CALU
ENSG00000128596,4527.68965396127,4503.21706553464,4512.60481713559,2049.50013677743,1956.88828022287,1818.82423072973,CCDC136
ENSG00000128602,165.31543623462,129.372043977511,170.442337363512,352.989145202132,398.507288439192,422.495365666868,SMO
ENSG00000128604,18.1331903699519,12.7927347755952,12.2302945191639,71.6381484779433,52.745035645752,58.9478843894371,IRF5
ENSG00000128606,45.2288567815252,52.6094850636678,38.2392848787318,70.7097788242107,103.748981243797,80.7733434786108,LRRC17
ENSG00000128607,1977.22256090671,2105.77830568666,2237.55212756055,3073.88336439349,2886.08303211941,3126.26811472652,KLHDC10
ENSG00000128609,8794.77360993241,8961.50319464505,8879.88270373946,3002.69237719014,2914.47620076233,2751.62983131039,NDUFA5
ENSG00000128610,179.558997641078,169.606647083315,138.441850261941,36.0048761926407,31.902336565205,19.678461491677,FEZF1
ENSG00000128617,8.91033010220157,0.970480600711036,0,2.9986737123244,8.45243158848121,0,OPN1SW
ENSG00000128626,314.295338739333,306.093963944732,274.716186424434,206.675492449112,212.336821027655,162.638967015223,MRPS12
ENSG00000128641,8618.31655014391,9049.98683541285,8252.35931424471,5925.87681237113,6777.02003910216,5564.67188693654,MYO1B
ENSG00000128645,24.7072615279414,22.3860337056591,55.3248935359858,0,0,5.91514539967837,HOXD1
ENSG00000128652,31.6236210602992,31.8989696758214,75.2167206218767,46.3725241617518,44.825469289349,28.6392169027264,HOXD3
ENSG00000128654,2310.01750884256,2573.27067813452,2636.92493035409,1862.1674212321,1802.82075463871,1899.82509920674,MTX2
ENSG00000128655,59.0602126549443,72.8351491978022,201.972195637036,115.235865032878,101.90305840526,169.118538507365,PDE11A
ENSG00000128656,3828.13509280996,3796.022552174,4132.62131059588,5464.57688907417,5510.55888005169,5852.8645963201,CHN1
ENSG00000128683,11.4313194209981,0.888269255479498,5.65001452355609,2.30828308701386,2.54736254647712,4.16194871181525,GAD1
ENSG00000128692,16.1707466229129,3.96713772645003,12.114580007625,14.5636245785637,38.403669096156,41.1856179605945,EIF2S2P4
ENSG00000128694,208.998137572075,242.274107960743,206.932756041773,342.231413449528,376.085401111324,248.779529478127,OSGEPL1
ENSG00000128699,930.434374270425,817.425064155211,811.490747315484,571.377225116612,505.801661221186,429.299839525779,ORMDL1
ENSG00000128708,1079.90930968644,990.458194164061,1064.31425060242,983.133898529135,1151.52768229419,1145.89276651936,HAT1
ENSG00000128709,55.5002646753157,44.7616546432451,16.8728946759513,26.9213934401034,21.1007716395926,43.6972958438062,HOXD9
ENSG00000128714,15.8778841799241,2.92230169405509,0,0,0,0.986594981753023,HOXD13
ENSG00000128731,20137.0136556641,15797.2596207264,17891.6788832546,12111.2714150247,12267.1050077083,13844.8264789395,HERC2
ENSG00000128739,9070.53465958452,9277.84624200723,9830.1725997952,9603.53910001918,9453.08461128364,9418.01596949449,SNRPN
ENSG00000128789,540.289785710156,553.955716888147,692.616183324046,646.15981089822,646.725946133858,565.111077428557,PSMG2
ENSG00000128791,571.905642889662,732.017387508783,659.488031546045,547.856880175382,600.667279870434,563.006321377642,TWSG1
ENSG00000128805,2469.48811858016,2288.46968511221,2325.93088291022,1967.37794922268,1922.33537227803,2515.44084534792,ARHGAP22
ENSG00000128815,20.2508144708795,2.51441684893713,14.6909606163211,4.6346769139604,0,0.430001598322241,WDFY4
ENSG00000128829,3273.10578229521,2960.34884354238,3488.07473735713,5001.10862924505,3721.63986095731,4270.33136132328,EIF2AK4
ENSG00000128833,55.6590145558542,97.6586614853134,97.1539932826791,83.6154782168744,99.9813960048844,97.5218032527784,MYO5C
ENSG00000128849,231.347100847027,199.721430718189,259.649402664214,357.296238268743,266.915832918712,294.305921463826,CGNL1
ENSG00000128872,24747.0421411012,25551.0012424069,25850.6536315975,36364.3507693993,36284.3732987148,39284.6455167176,TMOD2
ENSG00000128881,10316.7293463166,10254.6228319209,11198.1241472635,7026.35590052346,8005.8323420335,9028.84215652595,TTBK2
ENSG00000128886,22.7863962098954,13.2828354575611,15.5238435742174,0,0,2.21089530155795,ELL3
ENSG00000128891,906.634973546044,611.766214624296,947.417253016687,961.187075967135,985.111650739552,920.148469779514,CCDC32
ENSG00000128908,2778.00364256052,2923.66703307375,2440.05274943371,4078.71200870737,3967.54033063732,4086.20088894439,INO80
ENSG00000128915,1239.70324035307,1114.58539039773,1124.658324881,2191.31540534054,2304.34023899049,2066.89733928045,ICE2
ENSG00000128917,392.730731523818,360.052525215741,432.504458893996,1151.80966386046,1134.62680497583,1156.88422812041,DLL4
ENSG00000128918,64.2095541805224,12.9317108240747,44.6574103672614,32.5661663574555,27.8073806222691,19.1384032646428,ALDH1A2
ENSG00000128923,7045.87059354605,6903.50245665271,7299.38740087193,5732.90781255872,5668.68151975667,6213.42153176292,MINDY2
ENSG00000128928,833.920010124703,919.387335413697,916.420515291637,1516.19195673632,1116.95345208976,994.140264712991,IVD
ENSG00000128944,2704.86048590242,2778.63728644778,2480.85705625578,2366.4195026375,2263.82014603702,2411.36643792561,KNSTRN
ENSG00000128951,1350.18027546192,1450.96964793324,1628.13526503747,1300.06189028224,1191.5537690357,1226.41428130926,DUT
ENSG00000128965,287.486748228546,345.192466988797,414.647005106527,531.484332417801,465.908657121587,537.602980755717,CHAC1
ENSG00000128973,351.480076979056,315.280548629632,299.70886661134,574.911264795938,447.590527662604,548.657811232443,CLN6
ENSG00000128989,7514.84927316274,7991.16752516709,7432.32333635025,10184.6644054022,10513.9548258404,11238.7037974519,ARPP19
ENSG00000129003,10802.1603400077,9961.24163447562,9014.92951120981,15842.3863080896,15214.1618153506,15799.8871473379,VPS13C
