gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name
ENSG00000196550,8.65745190403649,0.208509988891647,0.596831031650659,0.564816024594913,0.670978214239772,FAM72A
ENSG00000196557,5576.80876455696,-0.726022754508666,0.0719508201984266,2.62550810909609e-24,2.29179549013675e-23,CACNA1H
ENSG00000196562,3923.90163886802,0.0548357709594489,0.0607223923182468,0.365244575001997,0.476493035503798,SULF2
ENSG00000196569,270.577660222171,0.394794008562114,0.247845279289587,0.0892669632266408,0.145118907745262,LAMA2
ENSG00000196576,6121.87320127304,0.298176624672594,0.0933093419732116,0.00127036714588911,0.00292466426017157,PLXNB2
ENSG00000196581,27.1110905820388,-2.83745082898189,0.993301460112959,0.000196965737859563,0.000508960271906179,AJAP1
ENSG00000196584,55.522957563677,0.0151694550910713,0.393881946552256,0.965759721395531,0.979219449803209,XRCC2
ENSG00000196586,9139.1657475899,-0.89033280224984,0.044780240616414,2.67182868046228e-88,1.24224678304252e-86,MYO6
ENSG00000196588,6196.47513108342,0.0610527807464201,0.0994887112822243,0.536504217625289,0.645803940094719,MRTFA
ENSG00000196591,25554.4080130808,-0.387651414191554,0.0350596925620252,1.25609279003326e-28,1.30012674915163e-27,HDAC2
ENSG00000196593,4.38720983921175,0.379804570445853,0.85308057696646,0.0704519756582718,0.118144595747982,ANKRD20A19P
ENSG00000196597,1288.68187622938,0.806752741753741,0.10422359051708,5.03706235220932e-15,2.84884189243382e-14,ZNF782
ENSG00000196604,116.024213190722,0.556279580807862,0.268193496175862,0.0252844498920455,0.0468896019683313,POTEF
ENSG00000196605,523.229044524995,-0.0809814718580603,0.139815393056891,0.55359018979669,0.661059313257251,ZNF846
ENSG00000196611,8.16215740155087,-0.338566717153518,0.641876731947762,0.360034398263788,0.47109372484215,MMP1
ENSG00000196628,2691.74682951594,-0.308540912272484,0.120974360480675,0.00957387280488072,0.0192304675219697,TCF4
ENSG00000196632,9971.04560272503,0.923150466539847,0.0634773446988256,2.79228527771889e-48,5.30770392310757e-47,WNK3
ENSG00000196636,294.274488373159,0.408591083457591,0.274030242680193,0.106508200241589,0.16905731830844,SDHAF3
ENSG00000196639,20.4169593323174,-3.77090702486406,1.29732420493422,0.000157232949501104,0.000411282514699925,HRH1
ENSG00000196642,8300.7726635642,-0.136445378862479,0.0515819347565936,0.0079986234264616,0.0162732279247748,RABL6
ENSG00000196646,1524.84764776763,-0.401885558733016,0.0896795441544406,6.1927435672216e-06,1.8663126009098e-05,ZNF136
ENSG00000196652,2847.11289518715,0.0393307074615546,0.0689762606780191,0.56733241413971,0.673413819823677,ZKSCAN5
ENSG00000196653,376.973445486193,-0.0445590127131813,0.160490453400835,0.774773018989716,0.842054076471977,ZNF502
ENSG00000196655,1383.05677452661,0.0648699102254134,0.0982065589939819,0.506060039864554,0.617574627783781,TRAPPC4
ENSG00000196656,304.010596843387,-0.747748604724425,0.190758986307161,4.66414876512567e-05,0.000129169394460724,AC004057.1
ENSG00000196659,177.277752569603,-1.1164011813745,0.230021812676286,3.63760309160741e-07,1.23048206268205e-06,TTC30B
ENSG00000196660,453.321807515205,0.582448987621115,0.144218162275783,3.66108275109809e-05,0.000102655481271259,SLC30A10
ENSG00000196663,3043.36644231555,0.358592640165563,0.132685796782303,0.00594034706055206,0.0123534931775841,TECPR2
ENSG00000196664,2.15975949870306,-0.143557978493283,0.700751716994087,0.545661241745831,0.653953537707024,TLR7
ENSG00000196666,4.64836842433314,0.00192423104013744,0.673159913922879,0.997307943806796,0.998690556196091,FAM180B
ENSG00000196670,3427.30867551975,-0.331614311924753,0.0999083063373424,0.00079143795510099,0.00188160722251293,ZFP62
ENSG00000196678,531.633353405023,0.799460482015927,0.170173072061515,1.29864497664478e-06,4.18034293373241e-06,ERI2
ENSG00000196683,1205.0073670713,0.605523759695385,0.108304354110265,1.51980920749524e-08,5.70598500493617e-08,TOMM7
ENSG00000196684,6.86694324365779,1.45355437519691,2.40835969040892,0.017320381767802,0.0331069578729605,HSH2D
ENSG00000196689,992.383903955127,1.29040006632283,0.122256508674765,1.22695490086045e-26,1.17774859373055e-25,TRPV1
ENSG00000196693,8152.55863821479,0.384722669608958,0.0840719314062398,4.08143491355301e-06,1.25318082779125e-05,ZNF33B
ENSG00000196700,2928.900188096,-0.0508120726176084,0.0682422365229641,0.454538198539995,0.568418664779039,ZNF512B
ENSG00000196704,1734.9332861691,0.522983766071616,0.0966559681866696,4.58964055518099e-08,1.66324100033212e-07,AMZ2
ENSG00000196705,3416.62139340424,0.22725936300165,0.0939325030918445,0.0147023955998766,0.0284892123818751,ZNF431
ENSG00000196711,5.06690206566757,-0.161701389855031,0.629567363050096,0.62544021060389,0.723651341560879,ALKAL1
ENSG00000196712,9519.19691783687,0.193906236305557,0.066175644359928,0.00416147037842309,0.00887917906990263,NF1
ENSG00000196715,3854.49066711876,1.52980559420803,0.0687770672531471,2.55046236287308e-110,1.68572226434993e-108,VKORC1L1
ENSG00000196724,1794.23776155765,0.314101635096639,0.111526961557561,0.00435484976538309,0.00926149700366698,ZNF418
ENSG00000196730,9145.68449948265,-0.506393626080573,0.0792431642930448,1.27159874838893e-10,5.50912778463905e-10,DAPK1
ENSG00000196739,118.867815753587,-0.594644594272734,0.380257769001557,0.0679814914891345,0.114481737332868,COL27A1
ENSG00000196743,886.912606569999,0.204361122542813,0.119468961515729,0.0830727814492332,0.136099392856277,GM2A
ENSG00000196747,70.5075001238502,1.00191197084742,0.392630958619142,0.00341423350855935,0.00737902037942005,HIST1H2AI
ENSG00000196757,1701.78025113304,0.688834565897173,0.0833130088109571,8.23510854278881e-17,5.17734132041976e-16,ZNF700
ENSG00000196767,11.6014480279807,-0.581837875133697,0.731816905351088,0.158196463286774,0.238237041695831,POU3F4
ENSG00000196776,6790.49372714081,-0.0234476877590254,0.064781917305563,0.71244786158541,0.793661170412391,CD47
ENSG00000196781,11648.8713303532,-0.91035180809813,0.0542640604836525,1.5582556706221e-63,4.34100839370963e-62,TLE1
ENSG00000196782,7007.86707529017,0.609297022719072,0.0781519861407196,4.26117084399922e-15,2.41880943923335e-14,MAML3
ENSG00000196787,160.549434325868,-0.226481637327712,0.213300474978697,0.265205981107333,0.366629594524662,HIST1H2AG
ENSG00000196792,2747.94666740993,-0.358334496298141,0.0865011147153814,2.96006314980917e-05,8.38125118366098e-05,STRN3
ENSG00000196793,310.233385517474,0.0921970312933611,0.226905532060583,0.669408364749648,0.759965432335764,ZNF239
ENSG00000196796,6.46560384827087,0.419211638907441,0.800788545717791,0.183547413507405,0.270237055993832,NPIPB10P
ENSG00000196811,67.3991722889499,0.0115817075327511,0.326580339053264,0.970437323170704,0.982340690801474,CHRNG
ENSG00000196812,350.440934799776,-0.608045824292736,0.157756590766263,7.52345976628295e-05,0.000203397906393627,ZSCAN16
ENSG00000196814,6396.29313686777,0.0470019192531769,0.0533545941036023,0.37737378263308,0.489161363439982,MVB12B
ENSG00000196821,4285.83894574632,0.539339106038808,0.0816451886359133,2.91102080832043e-11,1.31096405807795e-10,ILRUN
ENSG00000196826,3.05762057398107,-0.129394897753138,0.742417114275794,0.162654107698609,0.243679950237361,AC008758.1
ENSG00000196834,19.5577092906244,0.496302814997603,0.647275289769081,0.218290842797722,0.312031401200362,POTEI
ENSG00000196839,7.45136852637555,0.138095502831997,0.627212507015051,0.677238354514171,0.765991349303081,ADA
ENSG00000196843,73.4514955369322,-0.417275026613022,0.466791383428008,0.251006627468206,0.350425142579172,ARID5A
ENSG00000196844,5.99446079976462,1.05817090299618,1.65731429244333,0.0272846538345189,0.0502899957899521,PATE2
ENSG00000196850,1296.14520119293,1.61854337695022,0.120881286512177,1.26836108305864e-41,1.99320923891694e-40,PPTC7
ENSG00000196862,36.2516109415967,-0.127270090348182,0.441044150980466,0.71482419452396,0.795319580495494,RGPD4
ENSG00000196865,3932.89473395588,0.540634130878434,0.0667938653548087,4.24707875172645e-16,2.5686952079446e-15,NHLRC2
ENSG00000196866,237.398698540317,-0.0950263701739294,0.16763971615517,0.558859188415439,0.665661194682111,HIST1H2AD
